Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,Hurst,GPH,ADF,GARCH,Hill
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.1,10000.0,0.1,3600000,0.0001352636961007192,0.005201117164615533,1249.7657183312597,0.6423486389878161,0.40731133873590636,-59.455635515864955,1.1362723402054213,0.14943373389012585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.1,10000.0,0.325,3600000,0.0001255662189178949,0.008683624196052696,752.7749575916256,0.5952277728275548,0.47384257541074354,-55.94588685094086,0.987348342760198,0.06358267384409585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.1,10000.0,0.55,3600000,0.0001255662189178949,0.008683624196052696,752.7749575916256,0.5952277728275548,0.47384257541074354,-55.94588685094086,0.987348342760198,0.06358267384409585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.1,10000.0,0.775,3600000,0.0001255662189178949,0.008683624196052696,752.7749575916256,0.5952277728275548,0.47384257541074354,-55.94588685094086,0.987348342760198,0.06358267384409585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.1,10000.0,1.0,3600000,0.0001255662189178949,0.008683624196052696,752.7749575916256,0.5952277728275548,0.47384257541074354,-55.94588685094086,0.987348342760198,0.06358267384409585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.575,10000.0,0.1,3600000,4.1666391236903826e-5,0.003364165054083132,899.2802419466865,0.5946524421684019,0.4548669396990905,-57.28029737326974,0.9439042055470979,0.22970912712843913
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.575,10000.0,0.325,3600000,6.0950899550517385e-5,0.0033095052719345095,1350.2571947418544,0.5424047732378905,0.24331270467182473,-37.61865408968338,0.9376645057974827,0.28166086079501695
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.575,10000.0,0.55,3600000,6.0950899550517385e-5,0.0033095052719345095,1350.2571947418544,0.5424047732378905,0.24331270467182473,-37.61865408968338,0.9376645057974827,0.28166086079501695
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.575,10000.0,0.775,3600000,6.0950899550517385e-5,0.0033095052719345095,1350.2571947418544,0.5424047732378905,0.24331270467182473,-37.61865408968338,0.9376645057974827,0.28166086079501695
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,1.575,10000.0,1.0,3600000,6.0950899550517385e-5,0.0033095052719345095,1350.2571947418544,0.5424047732378905,0.24331270467182473,-37.61865408968338,0.9376645057974827,0.28166086079501695
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,0.1,3600000,6.597979075371672e-5,0.005391827733342549,437.37751115680254,0.5256144499959686,0.5158350884722707,-62.600211980260994,1.200985317393457,0.22271274394526583
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,0.325,3600000,6.597979075371672e-5,0.005391827733342549,437.37751115680254,0.5256144499959686,0.5158350884722707,-62.600211980260994,1.200985317393457,0.22271274394526583
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,0.55,3600000,6.597979075371672e-5,0.005391827733342549,437.37751115680254,0.5256144499959686,0.5158350884722707,-62.600211980260994,1.200985317393457,0.22271274394526583
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,0.775,3600000,6.597979075371672e-5,0.005391827733342549,437.37751115680254,0.5256144499959686,0.5158350884722707,-62.600211980260994,1.200985317393457,0.22271274394526583
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,1.0,3600000,6.597979075371672e-5,0.005391827733342549,437.37751115680254,0.5256144499959686,0.5158350884722707,-62.600211980260994,1.200985317393457,0.22271274394526583
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.1,3600000,0.00012658932107158873,0.005829764935791652,1448.4434081552718,0.535103233091673,0.24694062990746507,-37.78286913973789,1.2650835460706817,0.2970292039456586
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.325,3600000,0.0001266787248625173,0.005830668479317012,1447.954378175519,0.5352090842267087,0.23718794342833405,-37.78381460004739,1.1098729045857505,0.2970245725412275
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.55,3600000,0.0001266787248625173,0.005830668479317012,1447.954378175519,0.5352090842267087,0.23718794342833405,-37.78381460004739,1.1098729045857505,0.2970245725412275
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.775,3600000,0.0001266787248625173,0.005830668479317012,1447.954378175519,0.5352090842267087,0.23718794342833405,-37.78381460004739,1.1098729045857505,0.2970245725412275
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,1.0,3600000,0.0001266787248625173,0.005830668479317012,1447.954378175519,0.5352090842267087,0.23718794342833405,-37.78381460004739,1.1098729045857505,0.2970245725412275
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.1,3600000,0.00012525948514209472,0.005871988293953617,1442.0412392329335,0.5341572030537836,0.24622697685336503,-37.83585692264075,0.92172073742575,0.20469586303648832
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.325,3600000,0.00012533075433120917,0.005873364723056862,1441.101425671468,0.5343500673529928,0.2363852047893823,-37.83821981762983,0.9313705631700273,0.20404278696384068
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.55,3600000,0.00012533075433120917,0.005873364723056862,1441.101425671468,0.5343500673529928,0.2363852047893823,-37.83821981762983,0.9313705631700273,0.20404278696384068
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.775,3600000,0.00012533075433120917,0.005873364723056862,1441.101425671468,0.5343500673529928,0.2363852047893823,-37.83821981762983,0.9313705631700273,0.20404278696384068
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,1.0,3600000,0.00012533075433120917,0.005873364723056862,1441.101425671468,0.5343500673529928,0.2363852047893823,-37.83821981762983,0.9313705631700273,0.20404278696384068
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.1,3600000,-0.0003767080954643013,0.010425166834550956,190.2817714570234,0.6138500743450271,0.3326895137494837,-49.26902480010056,0.9897174264090073,-0.04503310047286396
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.325,3600000,4.555776636584403e-5,0.007245375452315622,783.9374421377003,0.5535660348583707,0.4306758634822969,-49.545063779227206,0.9481836089597634,0.2517110677630397
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.55,3600000,4.555776636584403e-5,0.007245375452315622,783.9374421377003,0.5535660348583707,0.4306758634822969,-49.545063779227206,0.9481836089597634,0.2517110677630397
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.775,3600000,4.555776636584403e-5,0.007245375452315622,783.9374421377003,0.5535660348583707,0.4306758634822969,-49.545063779227206,0.9481836089597634,0.2517110677630397
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,1.0,3600000,4.555776636584403e-5,0.007245375452315622,783.9374421377003,0.5535660348583707,0.4306758634822969,-49.545063779227206,0.9481836089597634,0.2517110677630397
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.1,3600000,4.9652054398283124e-5,0.0019599134080445536,456.7063290790874,0.5873766474185674,0.611228249985341,-51.97143275269478,0.9500000039137836,0.09806896759941165
